place_name,maps_category,full_address,city,postcode,lat,lng,rating,review_count,top_review,website,phone,price_level,source
Helping Hand Charity,Charity shop,"149 Newton St, Manchester",Manchester,M20 4QN,53.47538,-2.22461,4.5,692,"Friendly charity shop, all proceeds to a good cause, bit of everything",,0161 315893,££,Google Places API
Community Charity,Charity shop,"55 Hilton St, Manchester",Manchester,M23 7LD,53.46781,-2.25365,3.9,244,Standard charity shop — some clothes but mostly homeware and books,,,£££,Google Places API
The Bookworm,Used book store,"138 Church St, Manchester",Manchester,M2 8SW,53.50006,-2.24534,4.4,606,"Brilliant second-hand bookshop, could get lost in here",,0161 659171,£,Google Places API
Reloved Supply,Antiques & collectibles,"39 Union St, Manchester, Manchester",Manchester,M15 8AD,53.47661,-2.23537,4.1,363,"Lovely bric-a-brac and curios, more of a browse than a shop",relovedsupply.co.uk,0161 599281,££,Google Places API
Eastern Bloc Records,Record shop,"114 Newton St, Manchester",Manchester,M25 6GN,53.46515,-2.22342,3.7,714,"Best vinyl selection in Manchester, great for rare records",,0161 321611,,Google Places API
Heritage Living,Homeware store,"6 Oldham St, Manchester",Manchester,M24 1JL,53.48611,-2.24363,4.8,375,"Gorgeous homeware and interiors, lots of vintage-style decor",heritageliving.co.uk,,££,Google Places API
Helping Hand Charity,Charity shop,"32 Church St, Manchester",Manchester,M11 7JS,53.47272,-2.25173,3.7,285,Standard charity shop — some clothes but mostly homeware and books,helpinghandcharity,0161 851586,££,Google Places API
Foundry Corner,Thrift store,"150 Oldham St, Manchester",Manchester,M15 8FR,53.4714,-2.22114,4.3,724,"Amazing selection of 90s Levi's and band tees, could spend hours here",,0161 580464,£££,Google Places API
Corner Antiques,Antique store,"113 Hilton St, Manchester",Manchester,M25 1JU,53.47765,-2.2358,3.5,385,"Lovely bric-a-brac and curios, more of a browse than a shop",cornerantiques,0161 863266,££,Google Places API
Thread Store,Second hand shop,"40 Stevenson Sq, Manchester",Manchester,M25 7RJ,53.49043,-2.22696,3.7,595,"Friendly place, decent secondhand finds",threadstore.com,,,Google Places API
Grandad's Antiques,Second hand shop,"44 Stevenson Sq, Manchester",Manchester,M15 7UN,53.48874,-2.21704,3.9,693,"Lovely bric-a-brac and curios, more of a browse than a shop",,0161 203103,,Google Places API
Fancy That Costume Hire,Costume shop,"124 Hilton St, Manchester",Manchester,M2 4EB,53.49572,-2.23546,3.5,125,"Great fancy dress and costume hire, sorted us out for a party",fancythatcostumehire.com,0161 119393,£,Google Places API
Grandad's Collectables,Antique store,"159 Thomas St, Manchester",Manchester,M4 9JU,53.47431,-2.24239,3.9,51,"Lovely bric-a-brac and curios, more of a browse than a shop",,,£££,Google Places API
Worn Room,Thrift store,"153 Dale St, Manchester",Manchester,M24 5BU,53.48713,-2.23309,4.4,302,"Amazing selection of 90s Levi's and band tees, could spend hours here",wornroom.co.uk,0161 144294,££,Google Places API
Cash Converters,Pawn shop,"138 Oldham St, Manchester",Manchester,M24 2HW,53.49805,-2.23701,4.4,193,"Quick and fair, got a good price for my old phone",,0161 566383,££,Google Places API
Corner Emporium,Antiques store,"160 Hilton St, Manchester",Manchester,M13 4RP,53.48564,-2.21768,4.7,757,"Lovely bric-a-brac and curios, more of a browse than a shop",,,,Google Places API
Velvet Closet,Used clothing store,"59 Broadway, Manchester, Manchester",Manchester,M9 3NJ,53.48567,-2.2421,3.7,322,"Great reworked pieces and archive designer, always something new in",velvetcloset.co.uk,0161 701601,££,Google Places API
Attic Treasures,Antique store,"176 Thomas St, Manchester",Manchester,M13 4EF,53.47168,-2.24618,4.6,479,"Lovely bric-a-brac and curios, more of a browse than a shop",attictreasures.com,0161 032420,££,Google Places API
Moth Goods,Thrift store,"178 Tib St, Manchester",Manchester,M7 8DD,53.47963,-2.24885,4.8,82,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",mothgoods.co.uk,0161 723804,££,Google Places API
Nomad Corner,Used clothing store,"79 High St, Manchester",Manchester,M9 4UQ,53.50283,-2.22521,3.5,365,"Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely",nomadcorner.co.uk,0161 284222,£,Google Places API
Heirloom Closet,Boutique,"170 Tib St, Manchester",Manchester,M21 8LS,53.49169,-2.2293,4.6,267,"Three floors of curated vintage — massive shop, staff really know their stuff",,0161 066504,££,Google Places API
Reclaimed Furniture,Furniture store,"13 Dale St, Manchester",Manchester,M10 4GU,53.46408,-2.2341,3.5,49,"Great for reclaimed furniture and homeware, not clothing though",reclaimedfurniture.com,0161 567922,£££,Google Places API
Nan's Antiques,Second hand shop,"103 Hilton St, Manchester",Manchester,M20 5FD,53.50232,-2.2492,4.3,18,"Lovely bric-a-brac and curios, more of a browse than a shop",,,££,Google Places API
Grandad's Emporium,Second hand shop,"176 Dale St, Manchester",Manchester,M8 9SN,53.48674,-2.23396,4.8,529,"Bit of everything in here, worth a rummage",grandadsemporium.com,0161 945491,£££,Google Places API
Bygone Depot,Boutique,"56 Stevenson Sq, Manchester",Manchester,M15 5AS,53.49345,-2.24613,3.9,597,"Small but beautifully curated, prices a little steep but great quality",,0161 290600,££,Google Places API
Bygone Store,Clothing store,"172 High St, Manchester",Manchester,M5 1DA,53.46976,-2.2206,4.4,143,"Best vintage denim in the Northern Quarter, huge racks of Carhartt and Dickies",bygonestore.com,,£££,Google Places API
Grandad's Bazaar,Second hand shop,"138 Dale St, Manchester",Manchester,M5 6JB,53.48918,-2.2448,3.6,524,"Lovely bric-a-brac and curios, more of a browse than a shop",grandadsbazaar.co.uk,,£££,Google Places API
The Attic Antiques,Antiques store,"22 Hilton St, Manchester",Manchester,M23 5PT,53.49429,-2.238,4.6,353,"Aladdin's cave of antiques, china and collectables, no clothes really",theatticantiques.co.uk,,£££,Google Places API
Reclaimed Interiors,Homeware store,"168 Tib St, Manchester",Manchester,M11 4NT,53.47361,-2.22362,4.4,543,"Great for reclaimed furniture and homeware, not clothing though",,0161 223386,££,Google Places API
Echo Goods,Thrift store,"21 Church St, Manchester",Manchester,M24 1WQ,53.49952,-2.25156,3.9,637,"Amazing selection of 90s Levi's and band tees, could spend hours here",echogoods.co.uk,0161 183253,£££,Google Places API
Heritage Homeware,Homeware store,"43 Church St, Manchester",Manchester,M24 8FT,53.46613,-2.25006,3.7,40,"Gorgeous homeware and interiors, lots of vintage-style decor",heritagehomeware,0161 170758,££,Google Places API
Nomad Racks,Vintage clothing store,"88 Newton St, Manchester",Manchester,M25 1UT,53.48451,-2.23723,4.5,435,"Great reworked pieces and archive designer, always something new in",,,££,Google Places API
Analog Corner,Antiques & collectibles,"78 High St, Manchester, Manchester",Manchester,M19 3DT,53.49477,-2.24003,3.5,321,"Lovely bric-a-brac and curios, more of a browse than a shop",analogcorner.co.uk,0161 945625,££,Google Places API
Vintage Wines & Spirits,Wine shop,"27 High St, Manchester",Manchester,M3 6HP,53.47201,-2.22224,4,242,"Great little wine shop, nice selection of natural wines",,0161 994657,£££,Google Places API
Mid-Century MCR,Furniture store,"154 Tib St, Manchester",Manchester,M5 4NU,53.50354,-2.23499,3.9,608,"Great for reclaimed furniture and homeware, not clothing though",mid-centurymcr.com,0161 462879,£,Google Places API
Loop Vintage,Thrift store,"82 Dale St, Manchester",Manchester,M19 5SQ,53.50361,-2.23269,4.3,526,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",,,,Google Places API
Rewind Vault,Vintage store,"153 Hilton St, Manchester",Manchester,M11 8BD,53.4727,-2.25044,4.3,777,"Amazing selection of 90s Levi's and band tees, could spend hours here",,0161 784699,££,Google Places API
