place_name,maps_category,full_address,lat,lng,google_review_count,top_review,website,phone,price_level,locations,ig_handle,ig_followers,ecommerce_present,price_band,brand_fit,independent_ownership,qualifies,qualification_reason,tier,tier_reasoning,cluster_id,cluster_size,research_notes
Pop Boutique Manchester,Vintage Clothing Store,"34-36 Oldham Street, Manchester, M1 1JN",53.482616,-2.235276,121,Pop has been an Oldham Street institution for years - great selection of vintage jackets downstairs plus their own recycled and reworked line.,pop-boutique.com,+441612365797,££,6,@popboutiquemanchester,10000,true,Not confirmed,Not confirmed,"No - multi-site chain (Manchester, Liverpool, London, Leeds, Nottingham/Newcastle, Gothenburg)",True,Category 'Vintage Clothing Store' plus review text ('Pop has been an Oldham Street institution for years - great selection of vintage jackets downstairs plus their own recycled and reworked line.') confirms genuine vintage clothing stock.,Tier 1,"6.0 locations (Tier 1 needs 2+); 10,000.0 Instagram followers (Tier 1 needs 5,000+)",C1,8,"Google review count (121) and phone number (0161 236 5797) confirmed via Google-Places-sourced aggregator data, cross-checked against a second independent directory listing the same number for the same 34-36 Oldham Street address. Address corrected to M1 1JN (was mistakenly recorded as M4 1LW originally) after re-verification. No specific named brands surfaced in research beyond generic 'vintage'/'recycled' marketing copy, so Brand Fit is Not confirmed rather than guessed at Strong."
Blue Rinse Vintage,Vintage Clothing Store,"29-31 Oldham Street, Manchester, M1 1JG",53.482417,-2.236104,155,"Huge range of vintage clothing from 90s sportswear to 70s bohemian dresses, plus regular kilo sales - quality justifies the steeper prices, reviewers say.",bluerinsevintage.co.uk,+441618347877,££,2,@blue.rinse.manchester,7282,true,Kilo sales confirmed at GBP10-20/kg; individual item pricing not confirmed,Not confirmed,"No - 2-store chain (Manchester + Leeds), founded in Yorkshire in 1997",True,"Category 'Vintage Clothing Store' plus review text ('Huge range of vintage clothing from 90s sportswear to 70s bohemian dresses, plus regular kilo sales - quality justifies the steeper prices, reviewers say.') confirms genuine vintage clothing stock.",Tier 1,"2.0 locations (Tier 1 needs 2+); 7,282.0 Instagram followers (Tier 1 needs 5,000+)",C1,8,"PHONE BUG FOUND AND FIXED: the first-pass source (an aggregator mirroring Google Place data) returned +44 113 320 8000 for this listing - a Leeds (0113) area code, not Manchester's 0161. That number almost certainly belongs to Blue Rinse's Leeds store or is a stale cross-reference on the aggregator's side, since this is a 2-location chain. Re-verified against two independent sources (a local news write-up and a business directory) that both give 0161 834 7877 for the Manchester store specifically - that is the number now recorded. Two confirmed physical locations clears Tier 1 on locations alone regardless. No named brands surfaced in sourced reviews - stock is described generically as 'vintage', 'reworked' and 'sportswear'."
Bags of Flavour,Second Hand Shop,"33 Tib Street, Manchester, M4 1LX",53.483776,-2.234981,37,"Well-curated vintage 70s and 80s menswear and old-school sportswear - reviewers name-check Adidas, Tommy Hilfiger and Burberry pieces alongside original Gore-Tex jackets.",Not confirmed,Not confirmed,Not confirmed,1,@bagsofflavormcr,Not confirmed,false,Not confirmed,Medium,"Yes - independent, trading since 1993",True,"Category 'Second Hand Shop' plus review text ('Well-curated vintage 70s and 80s menswear and old-school sportswear - reviewers name-check Adidas, Tommy Hilfiger and Burberry pieces alongside original Gore-Tex jackets.') confirms genuine vintage clothing stock.",Tier 2,Medium Brand Fit,C1,8,"Google review count (37) confirmed via Google-Places-sourced aggregator, which also explicitly showed no phone number on file for this listing - recorded as Not confirmed rather than substituting a different source's number. Brand Fit scored Medium on 3 named brands (Adidas, Tommy Hilfiger, Burberry) confirmed via customer reviews. No dedicated ecommerce site found, so ecommerce_present is False rather than assumed."
Stare Society,Vintage Store,"20 Nicholas Street, Manchester, M1 4GU",53.478024,-2.239665,Not confirmed,"A 70s rock n roll inspired vintage store tucked above a Chinatown restaurant - vintage clothing, gifts and homewares with real character.",staresociety.co.uk,Not confirmed,Not confirmed,1,@staresociety,2372,false,Not confirmed,Not confirmed,Yes - independent,True,"Category 'Vintage Store' plus review text ('A 70s rock n roll inspired vintage store tucked above a Chinatown restaurant - vintage clothing, gifts and homewares with real character.') confirms genuine vintage clothing stock.",Tier 2,"2,372.0 Instagram followers (Tier 2 range: 500-4,999)",C2,1,"Postcode corrected to M1 4GU (was recorded as the wrong M1 4EJ originally) after re-verification against multiple current sources. No Google-Places-sourced review count or phone number could be found for this specific listing across the sources checked, so both are Not confirmed rather than substituted from a Yelp/Facebook count. Instagram follower count (2,372) is directly confirmed from the account itself and puts it in the Tier 2 Instagram range (500-4,999) on that basis alone."
Oxfam Originals,Vintage & Designer Clothing Store,"Unit 8, Smithfield Buildings, 51 Oldham Street, Manchester, M1 1JR",53.482876,-2.235669,45,"Hand-selected vintage and designer clothing, each piece carefully researched by the in-store team, as part of a new Oxfam Vintage concept format.",oxfam.org.uk/shops/oxfam-original-manchester,+441618393160,Not confirmed,Not confirmed,@oxfamoriginals_mcr,Not confirmed,false,Not confirmed,Not confirmed,"No - charity-run (Oxfam), centrally curated, not independently owned",False,Name signals a charity operation; no overwhelming evidence of commercial vintage retail in the review.,Disqualified,Name signals a charity operation; no overwhelming evidence of commercial vintage retail in the review.,,,"Google review count (45) and phone number (0161 839 3160) cross-confirmed across two independent sources (Oxfam's own press materials and a Google-Places-sourced aggregator) - no discrepancy found here. Deliberate real-world test of the charity-name override: 'Oxfam' in the name triggers the same CHARITY_NAME_PATTERN check as a dummy-data charity shop. The sourced review text uses only generic 'vintage and designer' language, not a named-brand or literal 'curated vintage'/'designer vintage' phrase, so it does NOT clear the strong-evidence override and is disqualified - proving qualify.py treats a real charity-linked shop exactly like the dummy-data equivalent, per the brief."
Cow Vintage,Vintage Store,"61 Church Street, Manchester, M4 1PD",53.482768,-2.23594,138,"Two floors of handpicked vintage clothing from the 60s through the 00s, ethically sourced with worldwide online shipping.",wearecow.com,+441618344926,Not confirmed,7,@cowmanchester,Not confirmed,true,Not confirmed,Not confirmed,"No - 7-store UK chain (Birmingham, Bristol, Leeds, Liverpool, London, Manchester, Nottingham)",True,"Category 'Vintage Store' plus review text ('Two floors of handpicked vintage clothing from the 60s through the 00s, ethically sourced with worldwide online shipping.') confirms genuine vintage clothing stock.",Tier 1,7.0 locations (Tier 1 needs 2+),C1,8,"Google review count (138) and phone number (0161 834 4926) cross-confirmed across three independent business-directory sources that all agree, so no correction needed here. 7 confirmed UK locations comfortably clears Tier 1 on locations alone. Confirmed dedicated ecommerce site (wearecow.com) with worldwide shipping."
Beg Steal & Borrow,Clothing Store,"2nd Floor, Afflecks, 52 Church Street, Manchester, M4 1PW",53.482534,-2.236195,Not confirmed,"A vintage clothing exchange - bring unwanted clothes and trade for pre-loved vintage garments at an affordable price, now with a second shop in Withington.",begstealborrow.co.uk,Not confirmed,Not confirmed,2,@begstealborrowmcr,19000,false,Not confirmed,Not confirmed,"Yes - founder-run (Erin Taylor-Thomas), independent despite operating 2 locations",True,"Category 'Clothing Store' plus review text ('A vintage clothing exchange - bring unwanted clothes and trade for pre-loved vintage garments at an affordable price, now with a second shop in Withington.') confirms genuine vintage clothing stock.",Tier 1,"2.0 locations (Tier 1 needs 2+); 19,000.0 Instagram followers (Tier 1 needs 5,000+)",C1,8,"No independent Google-Places review count could be found for this specific stall (it may not have its own separate Google Business listing distinct from Afflecks, the building it trades from). The only phone number surfacing in research was Afflecks' own shared building line (+44 161 839 0718) - that belongs to the shopping centre as an entity, not to this individual trader, so it is deliberately NOT recorded here as this shop's number; both are Not confirmed rather than misattributed. Flagship (Afflecks) plus a confirmed second Withington location clears Tier 1 on locations alone."
American Graffiti,Vintage Clothing Store,"12-14 Hilton Street, Manchester, M1 1JF (flagship; also trades from Afflecks, 52 Church Street, M4 1PW)",53.482851,-2.234599,Not confirmed,"Racks of retro clothing spanning the 1940s to today, plus fancy dress and costume accessories for parties - trading from Afflecks since 1982 and a Hilton Street flagship since 2005.",americangraffitti.co.uk,Not confirmed,Not confirmed,2,@american_graffitti,Not confirmed,false,Not confirmed,Not confirmed,Yes - independent trader since 1982,True,"Category 'Vintage Clothing Store' plus review text ('Racks of retro clothing spanning the 1940s to today, plus fancy dress and costume accessories for parties - trading from Afflecks since 1982 and a Hilton Street flagship since 2005.') confirms genuine vintage clothing stock.",Tier 1,2.0 locations (Tier 1 needs 2+),C1,8,"CORRECTION on re-verification: this shop was originally recorded as a single Afflecks stall (locations=1). Further research found a second, separately-addressed flagship shop on Hilton Street trading since September 2005 alongside the original 1982 Afflecks stall, both with current opening hours listed - locations corrected to 2, which now clears Tier 1 on locations alone regardless of the other unconfirmed fields. Yelp shows a review count for the Hilton Street address, but that is a Yelp count, not a Google Maps one, so google_review_count stays Not confirmed rather than substituting a different platform's number. Deliberately included as a real positive-and-negative-signal collision: the review genuinely mentions both retro clothing AND fancy dress/costume stock; because the positive vintage-clothing signal is present, qualify.py's logic qualifies it rather than disqualifying on the fancy-dress mention alone."
Retro Rehab,Vintage Store,"91 Oldham Street, Manchester, M4 1LW",53.483652,-2.234513,Not confirmed,"1950s-focused vintage womenswear, sourced from around the world and reworked shorter to be more wearable today.",retro-rehab.co.uk,+441618392050,Not confirmed,1,Not confirmed,Not confirmed,false,Not confirmed,Not confirmed,Yes - independent boutique,True,"Category 'Vintage Store' plus review text ('1950s-focused vintage womenswear, sourced from around the world and reworked shorter to be more wearable today.') confirms genuine vintage clothing stock.",Tier 3,No Tier 1 or Tier 2 criterion met on the evidence available,C1,8,"Phone number (0161 839 2050) re-verified across three independent sources, all tying it specifically to this vintage shop at 91 Oldham Street - NOT the unrelated mid-century furniture restoration business that shares a similar Instagram handle (@retrorehab, ~5,900 followers, a coincidental name collision documented separately below). The phone-number collision risk raised on the first pass did not materialise on re-check: it is a different, unrelated field (Instagram) that has the collision, not the phone number. No Google Maps review count could be confirmed for the clothing shop specifically (only Yelp's count, which is a different platform's number, was found) so google_review_count stays Not confirmed. Real-world instance of Known Pitfall #4 (never trust a field match without corroborating context): the furniture business's Instagram follower count must not be misattributed to this shop, so ig_followers stays Not confirmed too."
Bionic Seven,Vintage Store,"60 Port Street, Manchester, M1 2EQ",53.48185,-2.231896,Not confirmed,"Premium hand-picked vintage and modern classic menswear since 2005 - Barbour jackets, old-school Berghaus and Rab Gore-Tex, Adidas jumpers and Levi's jeans in abundance.",Not confirmed,Not confirmed,Not confirmed,1,@bionicseven,9488,false,Not confirmed,Strong,Yes - independent,True,"Category 'Vintage Store' plus review text ('Premium hand-picked vintage and modern classic menswear since 2005 - Barbour jackets, old-school Berghaus and Rab Gore-Tex, Adidas jumpers and Levi's jeans in abundance.') confirms genuine vintage clothing stock.",Tier 1,"9,488.0 Instagram followers (Tier 1 needs 5,000+)",C1,8,"Instagram follower count (9,488) now confirmed directly from the account bio. The one aggregator that offered a Google review count and phone number for this shop also, in the same listing, incorrectly flagged it as 'Permanently Closed' - contradicted by multiple independently-dated 2026 sources showing current opening hours and live social activity. Given that internal contradiction, both the review count and phone number from that source were discarded rather than trusted, and are recorded as Not confirmed. Brand Fit is genuinely Strong here (5 named brands confirmed in sourced coverage: Barbour, Berghaus, Rab, Adidas, Levi's), but Tier 1's 'Strong Brand Fit' criterion also requires confirmed active ecommerce, which research did not turn up for this shop - no dedicated online store found. Result: Tier 3 despite the strong brand signal, a real example of why Brand Fit alone doesn't guarantee a high tier."
